,ROI_1,ROI_2,ROI_3,ROI_4,EchoTimeMsec,Mouse,Slice,Year,Month,Day
0,115740.0,116519.0,108843.0,104466.0,10.0,3,2,2017,1.0,4.0
1,77467.0,75678.0,73500.0,58268.0,20.0,3,2,2017,1.0,4.0
2,58434.0,53295.0,54658.0,48582.0,30.0,3,2,2017,1.0,4.0
3,41849.0,39395.0,37746.0,27791.0,40.0,3,2,2017,1.0,4.0
4,32573.0,27880.0,31040.0,25265.0,50.0,3,2,2017,1.0,4.0
5,27268.0,23176.0,23582.0,19230.0,60.0,3,2,2017,1.0,4.0
6,21715.0,15629.0,17683.0,14848.0,70.0,3,2,2017,1.0,4.0
7,19526.0,12804.0,18017.0,11510.0,80.0,3,2,2017,1.0,4.0
8,16248.0,14569.0,16490.0,13835.0,90.0,3,2,2017,1.0,4.0
9,322021.0,344013.0,315237.0,308528.0,100.0,3,2,2017,1.0,4.0
10,247175.0,257531.0,233116.0,233975.0,110.0,3,2,2017,1.0,4.0
11,157449.0,157860.0,148075.0,135196.0,120.0,3,2,2017,1.0,4.0
